Date,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,RELIANCE.NS,TCS.NS
2023-01-31,756.2066650390625,771.552490234375,2438.86279296875,811.8018188476562,1406.6441650390625,305.22149658203125,345.1385498046875,2064.859619140625,1074.5245361328125,3088.8955078125
2023-02-01,755.028564453125,783.1245727539062,2436.496826171875,827.4640502929688,1422.5562744140625,313.0610046386719,347.8701477050781,2085.4169921875,1068.1566162109375,3134.557373046875
2023-02-02,763.5203247070312,771.4802856445312,2493.853759765625,837.1736450195312,1452.5006103515625,327.9604187011719,351.2696533203125,2084.785400390625,1062.244873046875,3182.426025390625
2023-02-03,778.3931274414062,798.1611328125,2507.009765625,842.9310913085938,1466.853515625,329.7362365722656,354.96826171875,2105.828369140625,1063.1806640625,3202.56689453125
2023-02-06,774.8098754882812,794.7688598632812,2496.456787109375,833.0751342773438,1439.75244140625,332.118408203125,348.3287048339844,2095.67138671875,1055.1690673828125,3182.01171875
2023-02-07,771.521240234375,795.9476318359375,2462.00439453125,832.1481323242188,1432.9197998046875,323.3260192871094,353.9913024902344,2104.61328125,1052.635498046875,3193.599609375
2023-02-08,760.9187622070312,795.8515014648438,2444.589111328125,838.3446044921875,1458.691162109375,325.3183898925781,352.01739501953125,2071.12890625,1073.6572265625,3237.330078125
2023-02-09,752.6234130859375,794.1914672851562,2448.2802734375,840.0036010742188,1482.9949951171875,324.1922607421875,353.09405517578125,2087.215087890625,1075.52880859375,3256.41357421875
2023-02-10,757.8264770507812,797.3430786132812,2439.57275390625,833.221435546875,1475.245361328125,321.6802062988281,353.3233947753906,2103.2041015625,1066.6728515625,3253.378173828125
2023-02-13,754.5377197265625,797.9445190429688,2442.88525390625,830.0988159179688,1437.55126953125,324.1489562988281,353.67230224609375,2141.54833984375,1060.6015625,3202.658447265625
2023-02-14,761.0169677734375,805.3305053710938,2441.560302734375,844.3948364257812,1461.213134765625,334.76043701171875,352.9844055175781,2130.224853515625,1085.5946044921875,3218.93701171875
2023-02-15,771.0303955078125,803.694580078125,2412.077392578125,849.761962890625,1464.6983642578125,336.5046691894531,356.0050964355469,2114.090087890625,1110.1768798828125,3237.835693359375
2023-02-16,770.0977172851562,800.783447265625,2391.869873046875,848.4446411132812,1469.0546875,336.8128356933594,356.49359130859375,2117.2490234375,1109.3095703125,3272.231689453125
2023-02-17,762.587646484375,796.7656860351562,2380.890625,841.8088989257812,1452.5465087890625,337.56121826171875,350.7712097167969,2163.95263671875,1113.9429931640625,3219.90234375
2023-02-20,764.894775390625,789.2835083007812,2377.057373046875,831.5137329101562,1460.4794921875,338.13348388671875,346.3946533203125,2163.126220703125,1102.16552734375,3207.1650390625
2023-02-21,764.7965087890625,792.2427368164062,2381.505615234375,833.5631103515625,1448.602783203125,336.5486755371094,344.9790344238281,2166.965576171875,1111.1585693359375,3173.781005859375
2023-02-22,758.0228271484375,776.7009887695312,2360.588134765625,818.9741821289062,1432.36962890625,337.9574279785156,339.06719970703125,2133.23828125,1085.9598388671875,3128.30322265625
2023-02-23,748.9910888671875,771.4321899414062,2357.3701171875,819.4620971679688,1422.189453125,341.2590637207031,340.38311767578125,2098.6357421875,1080.7557373046875,3139.569091796875
2023-02-24,743.2481079101562,764.5514526367188,2351.265380859375,819.4133911132812,1422.1436767578125,339.0579833984375,338.4192199707031,2074.2392578125,1088.15087890625,3127.29150390625
2023-02-27,739.1249389648438,766.4521484375,2336.07421875,835.7098388671875,1384.220458984375,336.5046691894531,344.1316223144531,2054.45947265625,1080.91552734375,3064.202880859375
2023-02-28,728.6697998046875,769.6759033203125,2328.975341796875,834.1973266601562,1364.2728271484375,331.6622314453125,344.78961181640625,2050.037353515625,1060.2362060546875,3046.728759765625
2023-03-01,736.474365234375,768.93017578125,2334.27587890625,835.6123046875,1372.0684814453125,333.42315673828125,347.9100036621094,2056.014892578125,1069.982421875,3113.726806640625
2023-03-02,726.5591430664062,762.38623046875,2323.958984375,833.3678588867188,1350.14892578125,330.6497497558594,343.28424072265625,2062.13818359375,1061.833984375,3054.637939453125
2023-03-03,750.41455078125,777.5189819335938,2338.771484375,847.5663452148438,1356.70654296875,338.9259033203125,349.12628173828125,2091.73486328125,1088.9271240234375,3073.6748046875
2023-03-06,752.5742797851562,783.0042724609375,2351.880859375,846.78564453125,1382.523681640625,341.7433166503906,349.12628173828125,2081.14013671875,1099.5633544921875,3100.9892578125
2023-03-08,752.5252075195312,784.5680541992188,2352.1171875,851.0305786132812,1368.9959716796875,345.4851989746094,346.9728698730469,2109.959228515625,1103.51220703125,3118.048828125
2023-03-09,759.2498779296875,784.6402587890625,2329.685302734375,835.270751953125,1357.7152099609375,341.1710510253906,342.28729248046875,2131.7314453125,1076.9896240234375,3068.80078125
2023-03-10,759.593505859375,764.4071655273438,2333.518798828125,822.2921752929688,1349.598876953125,341.6112365722656,338.8179931640625,2097.3720703125,1060.3046875,3063.42041015625
2023-03-13,751.298095703125,754.7356567382812,2323.722900390625,808.3864135742188,1316.1695556640625,337.78131103515625,333.7535705566406,2074.045166015625,1042.8665771484375,3018.310546875
2023-03-14,757.6791381835938,752.7147827148438,2311.74951171875,810.2892456054688,1302.3209228515625,334.3036193847656,328.6392822265625,2084.10498046875,1038.9635009765625,2956.6923828125
2023-03-15,742.806396484375,741.9125366210938,2277.3447265625,805.94677734375,1301.9998779296875,334.0394592285156,332.1684265136719,2115.645263671875,1021.2057495117188,2941.93212890625
